time_bin,price_level,bid_volume,ask_volume,net_volume,trade_count,avg_bid_price,avg_ask_price,time_window,segment_id,trading_time
1606809720,270.5,15,15,0,1,270.0,271.0,1m,48,2020-12-01 08:02:00
1606809720,270.0,15,15,0,1,269.5,270.5,1m,48,2020-12-01 08:02:00
1606809780,270.5,15,15,0,1,270.0,271.0,1m,48,2020-12-01 08:03:00
1606809840,270.5,15,15,0,1,270.0,271.0,1m,48,2020-12-01 08:04:00
1606809840,270.0,15,15,0,1,269.5,270.5,1m,48,2020-12-01 08:04:00
1606809840,269.5,15,15,0,1,269.0,270.0,1m,48,2020-12-01 08:04:00
1606809840,269.0,15,15,0,1,269.0,269.5,1m,48,2020-12-01 08:04:00
1606809900,270.5,30,30,0,2,270.25,271.0,1m,48,2020-12-01 08:05:00
1606809900,269.5,30,30,0,2,269.0,270.0,1m,48,2020-12-01 08:05:00
1606809960,271.0,75,75,0,5,270.5,271.5,1m,48,2020-12-01 08:06:00
1606809960,270.5,45,45,0,3,270.3333,271.0,1m,48,2020-12-01 08:06:00
1606809960,270.0,15,15,0,1,269.5,270.5,1m,48,2020-12-01 08:06:00
1606810020,271.0,30,30,0,2,270.5,271.25,1m,48,2020-12-01 08:07:00
1606810020,270.5,15,15,0,1,270.0,271.0,1m,48,2020-12-01 08:07:00
1606810080,271.5,45,45,0,3,271.0,272.0,1m,48,2020-12-01 08:08:00
1606810080,271.0,75,75,0,5,270.5,271.5,1m,48,2020-12-01 08:08:00
1606810140,271.5,15,15,0,1,271.0,272.0,1m,48,2020-12-01 08:09:00
1606810200,271.5,15,15,0,1,271.0,272.0,1m,48,2020-12-01 08:10:00
1606810200,271.0,15,15,0,1,270.5,271.5,1m,48,2020-12-01 08:10:00
1606810200,270.5,60,60,0,4,270.125,271.0,1m,48,2020-12-01 08:10:00
1606810320,271.0,15,15,0,1,270.5,271.5,1m,48,2020-12-01 08:12:00
1606810320,270.5,60,60,0,4,270.25,271.0,1m,48,2020-12-01 08:12:00
1606810380,270.5,120,120,0,8,270.0,271.0,1m,48,2020-12-01 08:13:00
1606810380,270.0,15,15,0,1,269.5,270.5,1m,48,2020-12-01 08:13:00
1606810860,270.5,45,45,0,3,270.0,271.0,1m,48,2020-12-01 08:21:00
1606810860,269.5,15,15,0,1,269.0,270.0,1m,48,2020-12-01 08:21:00
1606810920,270.5,90,90,0,6,270.0,270.9167,1m,48,2020-12-01 08:22:00
1606810980,270.5,45,45,0,3,270.0,270.8333,1m,48,2020-12-01 08:23:00
1606810980,270.0,15,15,0,1,269.5,270.5,1m,48,2020-12-01 08:23:00
1606811040,270.0,15,15,0,1,270.0,270.5,1m,48,2020-12-01 08:24:00
1606811100,270.5,30,30,0,2,270.0,270.75,1m,48,2020-12-01 08:25:00
1606811100,270.0,15,15,0,1,270.0,270.5,1m,48,2020-12-01 08:25:00
1606811160,270.5,15,15,0,1,270.0,271.0,1m,48,2020-12-01 08:26:00
1606811160,270.0,165,165,0,11,269.5,270.5,1m,48,2020-12-01 08:26:00
1606811220,270.0,30,30,0,2,269.75,270.5,1m,48,2020-12-01 08:27:00
1606811280,270.5,15,15,0,1,270.0,271.0,1m,48,2020-12-01 08:28:00
1606811280,270.0,90,90,0,6,269.5833,270.5,1m,48,2020-12-01 08:28:00
1606811280,269.5,15,15,0,1,269.0,270.0,1m,48,2020-12-01 08:28:00
1606811340,270.0,15,15,0,1,270.0,270.5,1m,48,2020-12-01 08:29:00
1606811340,269.5,30,30,0,2,269.0,270.0,1m,48,2020-12-01 08:29:00
1606811340,269.0,30,30,0,2,268.75,269.5,1m,48,2020-12-01 08:29:00
